activity_id,activity_name,category,planned_start,planned_end,planned_duration_days,predecessor,status,planned_quantity_percent,current_actual_percent,unit,project_id,data_type,source_file
F01-A020,Quality Interim Work Inspection - South Section,Quality,2026-08-29,2026-09-09,12,F01-A008,At Risk,100,44,Nos,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A008,Rehabilitation Existing Road Resurfacing - Package 3,Rehabilitation,2026-09-01,2026-09-14,14,F01-A001,In Progress,100,40,m,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A014,Safety Toolbox Talk - North Section,Safety,2026-09-02,2026-09-15,14,F01-A011,In Progress,100,79,Nos,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A029,Finishing Exterior Painting - Phase 3,Finishing,2026-09-04,2026-09-13,10,F01-A011,Completed,100,97,m²,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A017,Drainage Pipe Joint Testing - Package 2,Drainage,2026-09-07,2026-09-19,13,F01-A009,In Progress,100,90,Nos,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A030,Rehabilitation Existing Road Resurfacing - Phase 1,Rehabilitation,2026-09-09,2026-09-14,6,F01-A002,In Progress,100,64,m,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A027,Site Mobilization - Package 1,Site,2026-09-12,2026-09-20,9,F01-A012,In Progress,100,56,m,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A013,Landscaping Lawn Preparation - Zone C,Landscaping,2026-09-13,2026-09-17,5,F01-A010,Completed,100,100,m,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A004,Site Inspection - Zone C,Site,2026-09-14,2026-09-18,5,F01-A001,Not Started,100,0,Nos,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F01-A012,Drainage Flow Testing - Zone A,Drainage,2026-09-15,2026-09-18,4,F01-A005,In Progress,100,49,Nos,INFRA-01,synthetic_demo_data,Infrastructure_Schedule_01.xlsx
F02-A022,Electrical Cable Tray Installation - North Section,Electrical,2026-08-05,2026-08-12,8,F02-A020,In Progress,100,86,Nos,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A015,Utility Water Valve Chamber Construction - Chainage 0-500,Utility,2026-08-06,2026-08-18,13,F02-A001,At Risk,100,57,m,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A020,Site Fencing - Chainage 500-1000,Site,2026-08-07,2026-08-19,13,F02-A009,Not Started,100,0,m,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A013,Finishing Handrail Installation - Package 1,Finishing,2026-08-08,2026-08-16,9,F02-A002,Completed,100,98,Nos,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A014,Structural Steel Structure Erection - Package 3,Structural,2026-08-09,2026-08-12,4,F02-A012,Completed,100,96,m,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A001,Finishing Metal Railing Installation - Package 3,Finishing,2026-08-10,2026-08-13,4,—,At Risk,100,19,Nos,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A028,Structural Beam Formwork - South Section,Structural,2026-08-10,2026-08-10,1,F02-A001,In Progress,100,60,m,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A002,Earthwork Final Level Preparation - Package 2,Earthwork,2026-08-11,2026-08-23,13,F02-A001,In Progress,100,72,m,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A017,Electrical Conduit Installation - Package 3,Electrical,2026-08-14,2026-08-16,3,F02-A008,Not Started,100,0,Nos,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A005,Electrical Conduit Installation - Chainage 500-1000,Electrical,2026-08-15,2026-08-16,2,F02-A004,In Progress,100,55,Nos,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A009,Site Temporary Lighting - South Section,Site,2026-08-19,2026-08-25,7,F02-A006,At Risk,100,64,m,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A021,Road Dense Bituminous Macadam - Chainage 500-1000,Road,2026-08-20,2026-08-26,7,F02-A001,In Progress,100,44,m,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A010,Rehabilitation Existing Pavement Milling - Phase 2,Rehabilitation,2026-08-21,2026-08-28,8,F02-A006,In Progress,100,19,m²,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A007,Drainage Trench Excavation - Package 2,Drainage,2026-08-23,2026-08-27,5,F02-A004,In Progress,100,84,m³,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A023,Finishing Plastering - Chainage 0-500,Finishing,2026-08-23,2026-08-25,3,F02-A022,Completed,100,100,m²,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A019,Road Dense Bituminous Macadam - Phase 1,Road,2026-08-25,2026-09-05,12,F02-A006,In Progress,100,43,m,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A025,Road Kerb Laying - East Section,Road,2026-08-28,2026-09-03,7,F02-A010,Completed,100,96,m,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A011,Drainage Pipe Laying - Package 2,Drainage,2026-08-29,2026-09-03,6,F02-A008,In Progress,100,73,m,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A018,Quality Pre-Construction Inspection - Chainage 500-1000,Quality,2026-08-31,2026-08-31,1,F02-A005,In Progress,100,90,Nos,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A027,Electrical Earthing Installation - Chainage 0-500,Electrical,2026-09-01,2026-09-06,6,F02-A025,In Progress,100,23,Nos,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A024,Drainage Catchpit Construction - Chainage 0-500,Drainage,2026-09-03,2026-09-06,4,F02-A011,In Progress,100,57,m,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A003,Safety Temporary Shoring Installation - Zone A,Safety,2026-09-07,2026-09-15,9,F02-A002,In Progress,100,84,Nos,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A012,Earthwork Excavation - Chainage 500-1000,Earthwork,2026-09-09,2026-09-09,1,F02-A010,Completed,100,96,m³,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A004,Finishing Floor Screed Installation - Chainage 500-1000,Finishing,2026-09-13,2026-09-19,7,F02-A002,In Progress,100,23,Nos,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A008,Rehabilitation Pothole Repair - Zone B,Rehabilitation,2026-09-13,2026-09-18,6,F02-A007,Completed,100,97,m,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A030,Finishing Wall Tile Installation - Zone A,Finishing,2026-09-13,2026-09-18,6,F02-A011,In Progress,100,80,Nos,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A006,Drainage RCC Drain Construction - West Section,Drainage,2026-09-17,2026-09-24,8,F02-A005,Not Started,100,0,m,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A026,Utility Utility Duct Installation - Zone A,Utility,2026-09-17,2026-09-17,1,F02-A009,In Progress,100,44,Nos,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A029,Structural Steel Structure Erection - Chainage 0-500,Structural,2026-09-17,2026-09-29,13,F02-A005,In Progress,100,40,m,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F02-A016,Utility Water Pipeline Jointing - Zone B,Utility,2026-09-18,2026-09-28,11,F02-A004,Completed,100,99,m,INFRA-02,synthetic_demo_data,Infrastructure_Schedule_02.xlsx
F03-A002,Demolition Existing Fence Removal - East Section,Demolition,2026-08-10,2026-08-14,5,F03-A001,Completed,100,100,m,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A027,Finishing Metal Railing Installation - Package 1,Finishing,2026-08-12,2026-08-25,14,F03-A026,Not Started,100,0,Nos,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A026,Landscaping Lawn Preparation - Package 1,Landscaping,2026-08-13,2026-08-24,12,F03-A011,At Risk,100,76,m,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A018,Road Signboard Installation - Zone B,Road,2026-08-16,2026-08-24,9,F03-A011,In Progress,100,72,Nos,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A005,Road Paver Block Installation - Zone A,Road,2026-08-21,2026-08-23,3,F03-A001,Completed,100,99,Nos,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A030,Foundation Pile Integrity Testing - Zone C,Foundation,2026-08-21,2026-09-03,14,F03-A003,Completed,100,99,Nos,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A011,Finishing Masonry Wall Construction - Chainage 500-1000,Finishing,2026-08-22,2026-09-01,11,F03-A001,In Progress,100,71,m,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A008,Finishing Wall Tile Installation - Package 1,Finishing,2026-08-25,2026-08-30,6,F03-A003,At Risk,100,48,Nos,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A029,Quality Material Inspection - Phase 2,Quality,2026-08-25,2026-08-27,3,F03-A001,Completed,100,100,Nos,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A022,Quality Workfront Handover Inspection - Phase 2,Quality,2026-08-26,2026-09-05,11,F03-A021,In Progress,100,77,Nos,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A020,Road Junction Improvement - North Section,Road,2026-08-27,2026-09-06,11,F03-A017,Not Started,100,0,m,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A015,Structural Column Formwork - Package 3,Structural,2026-08-29,2026-09-10,13,F03-A009,In Progress,100,20,m,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A001,Rehabilitation Existing Culvert Rehabilitation - Zone C,Rehabilitation,2026-09-04,2026-09-17,14,—,Not Started,100,0,m,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A003,Utility Water Pipeline Jointing - Zone A,Utility,2026-09-05,2026-09-11,7,F03-A002,Not Started,100,0,m,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A006,Road Traffic Island Construction - South Section,Road,2026-09-07,2026-09-15,9,F03-A001,Completed,100,99,m,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A007,Site Grading - East Section,Site,2026-09-08,2026-09-19,12,F03-A005,Not Started,100,0,m²,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A010,Earthwork Formation Preparation - West Section,Earthwork,2026-09-08,2026-09-16,9,F03-A005,Completed,100,97,m,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A012,Road Shoulder Construction - Package 2,Road,2026-09-09,2026-09-14,6,F03-A001,Completed,100,99,m,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A019,Landscaping Shrub Plantation - East Section,Landscaping,2026-09-10,2026-09-12,3,F03-A004,Not Started,100,0,Nos,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A017,Finishing Floor Screed Installation - Zone A,Finishing,2026-09-13,2026-09-13,1,F03-A011,In Progress,100,62,Nos,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A024,Structural Steel Member Fabrication - Package 1,Structural,2026-09-13,2026-09-25,13,F03-A003,In Progress,100,23,m,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A025,Rehabilitation Existing Pavement Milling - Package 3,Rehabilitation,2026-09-13,2026-09-14,2,F03-A008,In Progress,100,77,m²,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A028,Site Welfare Facility Setup - South Section,Site,2026-09-14,2026-09-24,11,F03-A008,Not Started,100,0,m,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A004,Site Material Testing Area Setup - South Section,Site,2026-09-15,2026-09-20,6,F03-A001,In Progress,100,25,Nos,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A009,Landscaping Shrub Plantation - North Section,Landscaping,2026-09-16,2026-09-17,2,F03-A001,At Risk,100,44,Nos,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A013,Site Office Setup - Package 2,Site,2026-09-16,2026-09-16,1,F03-A008,Not Started,100,0,m,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A014,Road Median Construction - Package 2,Road,2026-09-16,2026-09-29,14,F03-A001,Completed,100,99,m,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A021,Finishing External Plaster Finishing - North Section,Finishing,2026-09-17,2026-09-25,9,F03-A003,In Progress,100,41,m²,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A016,Foundation Anchor Bolt Installation - Phase 1,Foundation,2026-09-18,2026-09-24,7,F03-A007,Completed,100,99,Nos,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F03-A023,Foundation Reinforcement - North Section,Foundation,2026-09-18,2026-09-20,3,F03-A013,Completed,100,98,m,INFRA-03,synthetic_demo_data,Infrastructure_Schedule_03.xlsx
F04-A024,Earthwork Cut and Fill Balancing - Zone A,Earthwork,2026-08-10,2026-08-20,11,F04-A002,Completed,100,98,m,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A002,Landscaping Irrigation Line Installation - Package 3,Landscaping,2026-08-11,2026-08-11,1,F04-A001,In Progress,100,45,Nos,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A014,Drainage Inlet Construction - East Section,Drainage,2026-08-11,2026-08-11,1,F04-A013,Completed,100,99,m,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A011,Site Mobilization - Phase 2,Site,2026-08-13,2026-08-22,10,F04-A007,Completed,100,99,m,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A003,Utility Sewer Pipeline Testing - Zone A,Utility,2026-08-16,2026-08-27,12,F04-A002,In Progress,100,28,Nos,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A015,Utility Service Restoration - Phase 2,Utility,2026-08-16,2026-08-21,6,F04-A010,Not Started,100,0,m,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A025,Drainage Headwall Construction - Zone B,Drainage,2026-08-16,2026-08-21,6,F04-A023,In Progress,100,44,m,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A006,Electrical Generator Cable Connection - Package 2,Electrical,2026-08-18,2026-08-29,12,F04-A005,Completed,100,96,m,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A029,Rehabilitation Existing Culvert Rehabilitation - East Section,Rehabilitation,2026-08-18,2026-08-27,10,F04-A005,At Risk,100,43,m,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A021,Electrical Control Panel Installation - Zone C,Electrical,2026-08-22,2026-09-03,13,F04-A011,Not Started,100,0,Nos,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A007,Earthwork Formation Preparation - North Section,Earthwork,2026-08-24,2026-09-02,10,F04-A004,In Progress,100,23,m,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A016,Site Office Setup - Chainage 0-500,Site,2026-08-25,2026-09-02,9,F04-A003,In Progress,100,76,m,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A020,Rehabilitation Existing Culvert Rehabilitation - Phase 1,Rehabilitation,2026-08-29,2026-09-05,8,F04-A002,Completed,100,97,m,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A028,Utility Sewer Pipeline Testing - Package 3,Utility,2026-08-29,2026-08-31,3,F04-A002,In Progress,100,46,Nos,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A008,Utility Water Line Relocation - North Section,Utility,2026-08-31,2026-09-03,4,F04-A006,In Progress,100,65,m,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A027,Finishing Blockwork Construction - Package 2,Finishing,2026-08-31,2026-09-06,7,F04-A022,In Progress,100,80,m,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A018,Drainage Catchpit Construction - South Section,Drainage,2026-09-06,2026-09-14,9,F04-A006,Not Started,100,0,m,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A030,Finishing Floor Tile Installation - North Section,Finishing,2026-09-06,2026-09-15,10,F04-A026,In Progress,100,29,Nos,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A022,Foundation Pile Bore Excavation - Zone C,Foundation,2026-09-09,2026-09-09,1,F04-A020,In Progress,100,44,m³,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A005,Rehabilitation Existing Culvert Rehabilitation - South Section,Rehabilitation,2026-09-10,2026-09-10,1,F04-A001,Completed,100,96,m,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A010,Road Reflector Installation - Zone C,Road,2026-09-10,2026-09-14,5,F04-A008,At Risk,100,15,Nos,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A019,Rehabilitation Existing Culvert Rehabilitation - Zone A,Rehabilitation,2026-09-10,2026-09-15,6,F04-A015,In Progress,100,75,m,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A017,Rehabilitation Existing Manhole Reconstruction - Zone A,Rehabilitation,2026-09-11,2026-09-14,4,F04-A011,Completed,100,100,m,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A012,Finishing Final Cleaning - South Section,Finishing,2026-09-14,2026-09-26,13,F04-A007,Not Started,100,0,m,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A004,Road Kerb Laying - West Section,Road,2026-09-17,2026-09-27,11,F04-A002,In Progress,100,39,m,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A013,Site Demobilization - East Section,Site,2026-09-17,2026-09-30,14,F04-A005,At Risk,100,45,m,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A026,Structural Beam Formwork - Zone B,Structural,2026-09-18,2026-09-18,1,F04-A020,In Progress,100,68,m,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A009,Road Reflector Installation - Chainage 500-1000,Road,2026-09-20,2026-09-24,5,F04-A007,Not Started,100,0,Nos,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A001,Earthwork Grading - Zone A,Earthwork,2026-09-22,2026-10-04,13,—,At Risk,100,30,m²,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F04-A023,Electrical Insulation Testing - Phase 2,Electrical,2026-09-23,2026-10-06,14,F04-A013,Completed,100,97,Nos,INFRA-04,synthetic_demo_data,Infrastructure_Schedule_04.xlsx
F05-A022,Landscaping Shrub Plantation - South Section,Landscaping,2026-08-13,2026-08-17,5,F05-A012,At Risk,100,24,Nos,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A002,Quality Workfront Handover Inspection - North Section,Quality,2026-08-14,2026-08-27,14,F05-A001,In Progress,100,61,Nos,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A014,Road Asphalt Patching - East Section,Road,2026-08-14,2026-08-19,6,F05-A007,In Progress,100,81,m,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A017,Finishing Final Cleaning - Package 3,Finishing,2026-08-14,2026-08-21,8,F05-A001,In Progress,100,78,m,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A028,Road Guardrail Installation - Zone C,Road,2026-08-16,2026-08-24,9,F05-A016,In Progress,100,86,Nos,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A004,Site Access Road Construction - Zone A,Site,2026-08-21,2026-09-01,12,F05-A003,In Progress,100,44,m,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A024,Road Reflector Installation - Chainage 0-500,Road,2026-08-21,2026-08-23,3,F05-A021,In Progress,100,58,Nos,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A020,Earthwork Haulage - Package 3,Earthwork,2026-08-23,2026-08-26,4,F05-A018,Completed,100,98,m,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A001,Road Kerb Laying - Zone B,Road,2026-08-24,2026-09-06,14,—,Not Started,100,0,m,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A007,Rehabilitation Existing Road Resurfacing - East Section,Rehabilitation,2026-08-24,2026-08-27,4,F05-A003,Completed,100,96,m,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A018,Electrical Feeder Cable Laying - Phase 3,Electrical,2026-08-24,2026-09-04,12,F05-A011,Not Started,100,0,m,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A006,Quality Pavement Thickness Verification - Package 1,Quality,2026-08-26,2026-09-07,13,F05-A003,In Progress,100,53,m²,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A005,Finishing Metal Railing Installation - East Section,Finishing,2026-08-29,2026-09-10,13,F05-A002,Completed,100,96,Nos,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A012,Finishing Road Furniture Painting - East Section,Finishing,2026-08-29,2026-09-11,14,F05-A010,In Progress,100,85,m²,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A016,Road Paver Block Installation - Phase 1,Road,2026-08-29,2026-09-02,5,F05-A010,Completed,100,99,Nos,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A015,Quality Material Inspection - Chainage 500-1000,Quality,2026-09-01,2026-09-04,4,F05-A007,In Progress,100,87,Nos,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A019,Road Road Marking - Zone A,Road,2026-09-01,2026-09-10,10,F05-A009,In Progress,100,65,m,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A027,Utility Water Pipeline Trenching - Phase 3,Utility,2026-09-02,2026-09-11,10,F05-A007,In Progress,100,35,m,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A021,Foundation Pile Bore Excavation - Phase 3,Foundation,2026-09-05,2026-09-17,13,F05-A017,In Progress,100,49,m³,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
F05-A029,Foundation Pile Bore Excavation - Package 2,Foundation,2026-09-05,2026-09-06,2,F05-A024,In Progress,100,64,m³,INFRA-05,synthetic_demo_data,Infrastructure_Schedule_05.xlsx
